,count
经典误封,5
没有,5
fw,5
有,5
好家伙,5
海南口音,5
多看一眼就会爆炸,5
动力小子,5
彳亍,5
hhhhhhh,5
2222,5
66,5
p5r,5
？？？？？？？？？？？？？？,5
捷风,5
出音味来,5
这不狂鼠吗,5
女保安,5
盖克,5
-,5
什么狂鼠,5
7777777,5
这是国际服,5
猫雷,5
低敏！,5
会玩了,5
？？？？？？？,5
让我看看怎么个事,5
1111111,5
铁臂,5
酱紫剪？,5
不会,5
m37,5
伯乐：好马,5
啊米诺斯,5
凯宙,5
再来亿遍,5
wtf,5
好冷静的瞄准,5
开始了开始了,5
这个我会,5
叛奇,5
督战,5
不是zood？,5
jett,5
好看,5
奇乐,5
好好好，这么玩是吧,5
这个好,5
典中典,5
我来我来,5
这么帅,5
太好了,5
《永劫无间》,5
[ohhhhhhhh],5
你已被，剥夺力量！,5
哈哈哈哈哈哈绷不住了,5
我去,5
肃然起敬,5
帅！otto,5
投币了,5
因为是左轮？,4
音乐不行,4
为什么不选ko,4
爽了,4
这不得来个奇乐！,4
这枪声才有一枪致命的感觉,4
甚至都是5发了,4
CSGO的AK手感我见过最好的,4
突然对味,4
王牌！樱岛麻衣消灭了整个队伍,4
我弹幕呢,4
up莫名躺枪,4
woc对胃了,4
什么咖喱，这是Aug的声效,4
哎对味了,4
小蜜蜂，嗡嗡嗡,4
纪 念 碑 谷,4
我超，瞬间上一个等级,4
有为青年，从不攒钱,4
瓦的狙手感更重,4
cz,4
新星？,4
车王？,4
go的音效太真了 瓦塑料感太强也不是很配,4
这下会打了,4
画地为牢,4
这个应该用法玛斯的音效吧,4
挺舒服,4
舒服！,4
这是p90的枪声，不是野牛,4
你这拿ko就是靶子，给炼狱和sova大的靶子,4
有没有可能这是p90,4
来个ko将是绝杀,4
来个ko ,4
这个拉了,4
确实夹子,4
这还舒服呢,4
也行，,4
但凡有个KO,4
这要是选个ko,4
这不是p90么,4
摘套,4
最舒服的一集,4
不如原装的,4
可能内格夫对不上,4
后摇一样的？,4
还是a1声音好听,4
咋是aug哇，不应该是法码斯？,4
大哥，这tm是aug,4
咖喱在开玩笑吗？不是aug？,4
这是p90的,4
这怎么是野牛的枪声啊不应该是内格夫嘛,4
艾许,4
主板,4
稳！,4
这个真不能换,4
这用的Aug？,4
内格夫子弹太多了？,4
球球狂喜,4
不是法玛斯？,4
为啥不是deagle的声音,4
跨,4
云死你得了野牛和p90都分不清,4
这不是法马斯吗？,4
CSGO音效反面还真比不过瓦,4
错了吧？这不应该对应的是法玛斯吗,4
更塑料了,4
直接上个ko,4
对面初始阵容,4
这个一般,4
还挺爽,4
aug嘛，我以为是改成法玛斯,4
胜利的小曲,4
撩犬不是法玛斯?）,4
好像加速了哈哈哈，czcd太长了,4
感觉打人更稳了,4
为什么不是法玛斯,4
很喜欢无畏契约玩家的一句话,4
炸弹妹,4
ko爽局,4
AUG哦,4
感觉不如CS1.6的awp,4
整理仪容,4
没感觉,4
说实话奥丁应该是内格夫战神才是m249,4
感觉枪都飘了,4
没有拍一下枪，缺点味,4
这不p90的声音吗…,4
p2000,4
体感游戏,4
还是更喜欢老版a1的声音,4
好0啊,4
是mp5k啊,4
瓦的狙击手感就是一坨shi,4
感觉还挺像的,4
说有为青年不行的 要么没脑子 要么没耳朵 快点滚,4
有为青年！全体起立！,4
什么珍珠港空战,4
好了 现在可以中路压一梭子了,4
狼之后再接一个闪更稳妥,4
内格夫556的，声音太脆了，不适合奥丁大口径的沉重感,4
左轮对味了,4
aug,4
dna里的声音,4
别的不说，这拉栓是真爽,4
前面的go是实录降噪不懂别乱说,4
fade国服封测版本暂时没有，斯凯玩不好容易闪队友，推荐盖克,4
说野牛的纯云，明明是妙妙工具,4
音乐不太行,4
yep,4
什么雷神,4
想多了，新手第一点是别选技能用不好会有副作用的英雄，典型就是火男,4
奶嘴,4
要来力！,4
瞬间感觉没伤害了,4
话,4
你是谁？,4
加利尔,4
《小心眼光》,4
软了,4
太飘了,4
我觉得我能上赋能了,4
但是怎么能稳定打一张图呢？,4
这里说一下，鸟叫了是有人，不一定闪到人，我就被坑过，,4
go的音效是实录的怎么会不真,4
我还以为会是内格夫,4
侦查行动挺像的,4
瓦的标配音效就是依托,4
好家伙，可是ro姬没上线也,4
这不会是p90吧,4
手感噌的一下上来了,4
超级矮个子,4
感觉来了,4
加油,4
呱！,4
卧槽，我才发现这里的备弹会消失,4
我的冲击星呢,4
好像也不错,4
因为没有弹链,4
《玉城》,4
这有啥好玩的。。,4
那我ko岂不是开个大然后拿手雷折磨死你们,4
小美,4
但凡有ko,4
居然有人说go的音效真,4
这下能点头了,4
别挡我的路,4
男夹子,4
我靠，好帅,4
这是装了瓦mod的csgo吧,4
道理我都懂，为什么 BGM 是八方旅人（,4
这亚星卓怎么放了这么多星星,4
对味！,4
不如原版检视BGM,4
这下会打鬼魅,4
前面的，这是AUG的音效……,4
骇灵,4
这个衔接太完美了,4
穷途莫录哈哈哈,4
太难听了哥们,4
这是AUG的音效,4
怎么就是法码斯了？明明是AUG,4
为啥老喜欢吊着东西….,4
你做任何一个玩法都需要很多朋友,4
丁真很香,4
byd触发连。,4
出一个吧！go转瓦狂喜！,4
细说野战,4
我想进去玩ko,4
反向按键,4
他们彻底完啦,4
大头是吧,4
嗯？,4
啊？？？？,4
中敏,4
KO,4
我和我的动物朋友,4
万恶之源,4
支持,4
写实风格,4
kale,4
万蒂奇是吧,4
经典管救不管活,4
再看一眼就会爆炸,4
多少钱,4
沸羊羊是吧,4
鎏金帝王神中神,4
屏蔽了,4
别 挡 我 的 路,4
我掏出ko呢,4
you are powerless！,4
虚空鱼群,4
ko不能玩吧,4
钢索无敌,4
这p90的音效哥们,4
星礈：我TM谢谢你,4
西安人：？勿cue,4
整理遗容遗表,4
hhhhhhhh,4
奇乐大招直接就没啊,4
根本难不倒他,4
所以我选择台式,4
玩ko 直接踢出群聊,4
胡言乱语,4
不如钱博尔一根,4
你说这个模式玩保安 是不是真成保安了,4
尚勃勃,4
垂直+激光,4
用KO稳赢,4
国服特供品种,4
优雅,4
很像,4
笑吐了,4
阿米诺斯阿米诺斯,4
南蛮子口音,4
安徽口音,4
急了,4
我超，瓦！,4
沉没成本,4
局部多云,4
含妈量极高,4
曲对币有,4
一杀一剪是吧,4
身体狗,4
你说得对，但是个人近战单位是,4
啊~,4
《男孩别哭》,4
凉心,4
瑟符,4
经典学历,4
照亮你的美,4
谁家小孩？,4
龙哥就是龙！,4
随机弹道之神的眷顾,4
奠重，骸子,4
红孩儿,4
南蛮口音,4
骂的好,4
脑缠,4
幻象神中神,4
好东西,4
亡灵,4
土豆雷,4
没有直接平手,4
自己人别开腔,4
墨菲特,4
这啥皮肤,4
绷不住了哈哈哈哈,4
哈哈哈哈哈哈啊哈哈哈哈哈,4
光炫声谱,4
穷途末录,4
hhhhhh,4
。。。,4
目标明确,4
太对啦,4
电幻,4
密集恐惧症犯了,4
一头攒死,4
然后对面进来一个喷子,4
扫0,4
《玉 城》,4
奇乐大招分分钟被摧毁,4
我超,4
Ko 冲,4
KO:来跟我玩CSGO！,4
《只能攻击天上的》,4
如果我台式是13900k不知阁下如何应对,4
躲爆头,4
诸神黄昏,4
雷兹狂喜,4
nats,4
搞这么帅,4
来个KO,4
这不得来个ko，对面五个人看着我们五个人一直放技能,4
像在玩守望,4
跑打仙人,4
不信！,4
p5!,4
太舒服了这音效,4
新手真的听不懂说什么。。。,4
听不懂怎么办？,4
我枪法或许不硬，但是我嘴一定够硬,4
UP意思是先记住一张地图的点位，碰到就玩保安，没碰到可以玩别的,4
零真不行，新手看自己视角加摄像头大脑直接过载了,4
不要，零是我的，别人不能抢,4
但蕾娜、kyo感觉是go批转瓦最好上手的,4
谢谢，一点听不懂，退了。我真的今天刚下载，完全听不懂,4
百鸟朝凤,4
我是新手，完全听不懂这些词,4
齐乐大招不是秒没？炼狱锁法全在,4
小烧0,4
最对味的一集,4
不是哥们是蜘蛛侠吧,4
奇乐确定么，对面稣法加布史东奇乐大招有什么用啊,4
最对的一集,4
我的建议不如来个k/o,4
汝可识得此阵？,4
逝一逝,4
进来直接玩ko,4
我的密客被摧毁了,4
插眼,4
光谱,4
难他天？,4
边陲纪元,4
就你还要用枪杀人,4
U！R！POWERLESS！,4
背水一战,4
守望契约哈哈,4
血压拉满,4
好好好，你只红右边是吧？,4
《好玩》,4
好强的攻击性,4
起来再死一次,4
该玩ko哈哈,4
但凡来个ko就成CSGO了,4
乐死了,4
rip,4
移 动 迷 宫,4
这叫轻？,4
RIP,4
op,4
糖丸了,4
火力压智,4
触发小连招,4
这不选个ko都别玩了,4
弹幕护体,4
我直接上ko,4
你出不去了？我已经出来力！,4
触发连招是吧,4
还是去求求拳头出创意工坊吧！,4
迷宫,4
很喜欢ko的一句话 u r powerless,4
可以改迷宫,4
你币有了,4
激光垂直,4
富婆,4
守 望 先 锋,4
实录啥？现在都是混了音的，实录的枪声早就被抛弃了,4
突然感觉能压住了,4
瓦很多皮肤都有独特枪声的,4
虽然我在靶场全都摸过几遍，但还是不能说百分百记住。,4
新手首先排除需要杀人才能激活技能的英雄,4
视频是讲给老人听的,4
泽丽不是最有体验感的？,4
眩晕嘎嘎杀是吧,4
被晕杀三个！,4
真正的新手零，敌人走脸上了还在看监控，今天刚遇见,4
全是黑话,4
卧槽，八方旅人,4
但是却叫狗,4
哦豁，三个买了俩,4
玩过csgo无所畏惧,4
《萌新向》,4
芮兹算了吧 扔个雷就一直躲后面的决斗你不怕吗,4
保安作为老六位进攻方要当自由人新手很难玩的,4
零啊,4
狂鼠两段跳平a接炸，前妻忘不掉,4
师傅别念了师傅,4
说了这么多都没用，我会到地睡觉,4
至少一换一,4
零不行  一般一瞬间就发生战斗,4
这玩意进攻方萌新玩纯透明人,4
这是给萌新讲的？,4
想问下 枪法很好（很多年的cs老手了 以前在平台上打 kd都是3.0左右）但是技能一点都不熟悉 推荐什么英雄啊？今天刚玩 技能太多有点晕。有没有那种对刚枪有加成的英雄呀？,4
都一样,4
听不懂，没意思,4
我几乎不用技能,4
反而是把技能全扣掉能打赢【指有时太专注于技能】,4
完全听不懂,4
Good Good,4
钱包确实不适合新人玩 ,4
R6玩具毫无压力，顺便觉得特别亲切,4
你这是跟萌新讲的视频吗，为什么我完全听不懂,4
菲德还有个深海遗珠,4
21神中神,4
Ko好用啊。雷闪像go。又是信息位。大招强制打go。压点又好用,4
丫的，牢笼是套自己啊？？,4
我超，半藏,4
都给我打csgo,4
我内测练了好久，现在换位加斩〔狗头〕,4
我真的怀念守望先锋了。。。。,4
逃跑！不存在的，我选择直接拉枪,4
我记不住,4
老坛一样，萌新排到的不也是萌新？萌新爱玩什么玩什么，用得着你来绑架？,4
巨龙，看清一切,4
我刚下的游戏你问我？,4
瑞兹好玩,4
蕾娜钱包ko打的准就强,4
你不明白csgo玩家转过来的含金量,4
法鸡！,4
我也听不懂哈哈哈,4
有没有一,4
我不觉得，这几个哪个不是点位狂人，要么就是需要队友配合,4
新手对新手不其他更直接的好？,4
你想到过，我是个新手吗？,4
亚雷吗对枪都没对明白就去玩技能是吧,4
老子基础功够扎实那能叫萌新吗？,4
能 够,4
我发现这类up讲英雄从不提一嘴技能效果的。,4
符文法师,4
玩保安的心都脏,4
什么萌新入坑视频,4
up是不是对萌新有误解,4
戳啦，守哪个点哪个点没人嘛,4
先挨打以后就精明了,4
看不懂，听不懂，找角色介绍的去了,4
这是给萌新看的吗 哈哈,4
我爆破都没敢打,4
能，5000小时CSgo玩家,4
很好 都没有,4
什么都懂都会那还是新手么？,4
别问了,4
我露头就是die,4
看的人都是萌新，你用这么多的词汇根本听不懂,4
不需要扣掉，照样打不过,4
好了，我不玩了,4
我玩csgo的朋友来了就玩瑞纳和ko,4
网上搜教程,4
同，完全听不懂溜了,4
别骂了,4
狂鼠玩家狂喜,4
你这新手只是针对没玩过这个游戏 但是玩射击游戏的新手,4
有没有针对没玩过射击游戏的新手做的,4
这视频做得，能听懂已经不是萌新了,4
斯凯很不错,4
拉倒吧，萌新可别玩这个闪队友了,4
第一次玩我怎么知道……,4
有点R6基础就还好,4
我从csgo转来的 就会玩个尚博乐,4
我知道，狂鼠嘛,4
呃，你说的三会我拉了两个,4
人家推荐5个又不是只推荐保安,4
肯定21,4
我朋友技能不舍得放，就跟别人对枪，菜的狗一样,4
这些是FPS游戏基操吧,4
听不懂唉！,4
…没一个适合新人玩的,4
21/23,4
完胜,4
守望先锋？,4
绝杀,4
布布啊,4
23薄纱21,4
23这段好听,4
这是猫！,4
夜路呢？,4
新手玩蕾娜挺好的,4
23ak答辩,4
玩蕾娜（dog）,4
。。新手玩炸弹妹不是等于白板,4
好 timing,4
就卖了这几个,4
21年神中神,4
21无敌,4
23牛逼,4
瑞兹吗，是对瑞兹有什么误解吗,4
ko：CSGO启动！,4
技能少快速释放的不误伤的才适合新手，打枪就能赢啊,4
66666,4
确实有的人就怕自己技能影响队友，怕队友说，就不敢玩,4
保安战术性太强了，对新手挺不友好的，还老得看摄像头,4
保安没点水平不好玩,4
你枪法不准，芮娜有啥用？萌新不会人均KD2+吧？,4
新手才更应该去玩刚枪的角色，枪法和peek是基础,4
ko可以新手吧，可以说最适合go转瓦,4
钱包被rush能咋跑，等死,4
go转瓦已经不算up说的纯新手了，有相似的射击手感，up说的是不熟悉这种射击模式的新手,4
kj也不错的，简单,4
都非常非常不适合新手,4
国服钻石不如港服白银。铂金也能吹啊,4
会玩车和雷就行了,4
我TM判官，众生平等,4
因为不会玩的都不会去选,4
保安推荐sova这不推荐，sova需要单摸的，新手点都分不清，怎么拿信息啊,4
记点位还不如练枪去,4
萌新推荐玩夜露，别问为什么，一个字，帅！,4
省流：视频一堆废话，看了只会添堵,4
一个不会炸弹跳进点的raze真的能有用处吗？,4
酥法和宝可梦很适合新手玩,4
玩火男就对了,4
↑对新手来说jett四个技能对对枪没有一点帮助 别不懂装懂,4
不熟练的人电击箭真摸不到人,4
王哥是吧,4
炸弹妹就算了吧,4
注意一下up说的萌新是fps的萌新,4
GO转瓦雷娜钻3了,4
go转瓦算个屁新手，up说的是纯粹的fps新手,4
瞎推荐,4
csgo转过来的很难吗,4
因为破败王套了解这个游戏,4
ko开大，直接白板,4
新人不就玩技能简单的吗，零不学根本玩不明白,4
我萌新直接练钱博尔,4
瑞兹新手那炸弹跳，跳的是真没眼看,4
净扯淡，最适合萌新的是苏法，奶妈，凯宙和判奇,4
FK瞬鸟,4
新手不是傻子,4
骂得好！最怕这种菜鸟,4
玩保安啊就龟,4
直接不玩,4
拉倒吧，新手玩其他的光技能就能把队友搞得烦死,4
字正腔圆,4
萌新压根不会放技能,4
你能记住你刚刚第一句问的什么吗（doge）,4
新手就跳雷不是特别容易放好,4
昨天一雷三杀满血的,4
天天闪队友新手求真别玩这个，闪都不知道什么时候扔,4
每一个我爱玩的,4
把,4
玩过枪战游戏的手雷都不会丢？那还玩毛线,4
fade很不错,4
枪法只有瓶颈没有上限,4
乐趣越大乐趣越小,4
优势越大，优势越小,4
不懂道具的局夜路真乱杀,4
你对新手这个词是不是有什么误解？他要知道这个他还叫新手？,4
GO批已经用KO上铂金咧,4
不玩ko?,4
这里说的萌新是没fps的萌新吧,4
开大化身黑头小卤蛋,4
没事儿，见人我睡觉,4
我就要玩霓虹冲到对面逼脸上乱突,4
新手其实挺推荐玩jett打,4
蕾娜的话不会影响队友,4
好骂....,4
恐怖游戏,4
那必须是蓝色小丑了 （狗头）,4
尬,4
这英雄新手能玩明白啊,4
夜露（即答）,4
蓝色小丑永远的神,4
你自己天天你在说什么,4
选择保安，少走二十年弯路,4
not jinggg,4
夸张,4
二人幸终,4
太对了，哥,4
哈哈哈nobody名场面,4
严谨,4
必须21啊,4
等等，如果你是csgo大高手，只是刚接触瓦，就玩这三个猛磕枪就行,4
22 21 23,4
塑料,4
莲花古城有没有瑞兹是两个游戏,4
鬼鬼,4
所以玩炸弹,4
2021,4
跑打哥,4
新手适合雷兹？搞笑？,4
csgo完美s,4
正片开始,4
woc,4
csgo玩家表示新手期一点对枪强度都没有，随便乱杀然后熟悉技能就行了,4
那必然是瓦区墨菲特了doge,4
完美踩坑,4
1换2换3，完全不考虑逃跑,4
我才玩三天，喜欢霓虹跟蝰蛇，霓虹经常乱杀,4
说实在的，兄弟们只是为了玩玩开心的话，不打排位，随便选就行。,4
我想玩什么玩什么,4
6，真当瓦是大多数人第一款fps是吧？机器人都给我去玩csgo,4
不然枪法还不够准就不配玩其他模式一辈子玩死斗?那还玩这游戏干嘛?,4
炸弹跳对新手难度有点高了，学习难度应该不亚于sova把点位记熟,4
推荐新手玩蕾娜纯nt,4
狂鼠了属于是,4
新手够应该指的是fps新手,4
没有kj？？,4
sova brim和fade比较简单上手,4
新手永远是新手是吧,4
笑死，nobody振着四杀,4
我玩弓男少两个技能一样，飞机和震爆箭根本不会用,4
我觉得可以,4
奥丁上手死磕到底,4
这是猫！这是猫！,4
这英雄不是一开始就要你学会炸弹跳的，她的每个技能都很强。,4
不会炸弹跳，不会突破进点的便秘瑞兹还是算了,4
go批转瓦打蕾娜已经铂金1了,4
被rush？我将以奥丁形态出击doge,4
这英雄玩不明白起码技能也能打伤害,4
甘！文！崔！,4
返利封顶2000vp,4
为啥我的无畏契约没有这个机器人角色？,4
坏了全买了,4
什么咖喱这不是aug？,4
一般，感觉不如雷神音效,4
我能颗秒了,4
感觉可以把握住跑打了,4
小牛,4
哈哈，cz没备弹了,4
go音效实录的那个张口就来是吧,4
实录的哥实录的啥呀,4
什么MP5 k 明明是MP5 SD,4
eva-8,4
还是cs舒服,4
错啦 内格夫是大菠萝 m249是小菠萝,4
不是咖喱 这个音效是aug,4
p2000才合理吧,4
突然就舒服了,4
正义其实感觉沙鹰的声音会好点,4
舒服了吗,4
这个个人感觉应该用咖喱的声,4
谁跟你说瓦玩的是真实了,4
好个p,4
清脆的一声,4
法玛斯,4
这个就算了,4
30发老a1是吧,4
太拉了,4
尴尬,4
瑞兹虽然一堆友伤技能，但很少坑队友,4
八方旅人的bgm,4
当然是买奥丁穿射啦,4
go批闹麻了,4
何尝不是一种NTR,4
这个行,4
真的难听,4
这个不是叫猎枭吗,4
这里说反了  大部分是老射击玩家  对枪反而不是问题  问题是技能,4
舒芙蕾可还行,4
好灵活啊,4
我也听不懂，这是萌新教程？,4
萌新向是什么都不斗的萌新啊,4
所以技能能介绍吗，进去玩了个训练技能没看懂,4
会变成依托,4
讲真大狙还是cf的毁灭音效卡好听,4
音乐真不行,4
这个不应该是法玛斯吗，为什么用咖喱,4
斯~,4
太答辩了,4
这不是p90？,4
大便,4
表哥的cz75有说法的,4
有没有可能我们两个游戏都玩,4
上次有个联盟转瓦玩家给我来一句：rush？我人在点在……（恼）,4
小鬼go,4
来手感了,4
爽个屁，随便一个皮肤音效都秒这个,4
怎么说句手感来了还有人急了啊……,4
莲花古城这图就是为她而生的,4
是是是，手感上来了，求你们去玩go吧别来沾边,4
这枪声才对味,4
盲猜野牛,4
音乐说实话不如拳头,4
最适配的一把,4
我买了零，啥也不会，当个老六,4
低端局稳定杀人,4
我测，P90,4
好好好，raze，好好好,4
野牛是什么鬼,4
声音太轻,4
我喜欢gogo里被爆头的感觉，观战视角里特别能体验对面有多离谱,4
有为青年还行啊我觉得，无畏契约不是没有音乐盒吗,4
蕾娜得杀人，钱包技能组一把左轮一把op同样不适合，机器人倒还算合适,4
这不p90吗怎么就野牛了,4
左轮配沙鹰音效怎么想的,4
内格夫声音比较稳，不符合战神,4
要来雷神的音效,4
先记一张图，碰到不熟的图不记点位直接打,4
建议cf雷神的，那个真的爽,4
车王,4
笑死我了 go的音效还不够真 那你意思瓦的动画片音效真呗,4
r99,4
鬼魅就是usp完全没差别,4
这不是法玛斯？,4
为什么不是沙鹰,4
乱起来了嗷,4
为啥不是格洛克，这和p2000不对味吧,4
我的cz，就是一把AK,4
nova,4
这个不如瓦,4
实录去高频,4
等cs2 什么都没了,4
mp5,4
MP9这换弹声太熟悉了,4
舍了,4
go的枪现实都有原型，枪声肯定比瓦虚构的枪真实啊,4
新手不要过于专注瞄点，很多时候队友需要你的枪线,4
这aug,4
mp7,4
我草，舒服了,4
R8一响，爹妈白养,4
夜戮！,4
最污染耳朵的一集,4
手感瞬间上来了,4
我草，这对味儿了,4
正确的！,4
音乐一坨前方高能预警,4
前面的，go的音效老版的是实录,4
最恶心的一集,4
这下不会玩了,4
